,Brand,Model,Year,Fuel,Horse Power,Engine Cylinders,Number of Doors,Market Categories,Vehicle Size,Vehicle Style,Miles Per Gallon (MPG),Retail Price
55,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,2.0,"Luxury,Performance",Compact,Coupe,24,33150
56,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,2.0,"Luxury,Performance",Compact,Coupe,24,35150
57,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,2.0,Luxury,Compact,Convertible,23,40950
64,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,25170
65,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,23950
66,Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,4.0,"Flex Fuel,Performance",Midsize,Sedan,18,29370
67,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,21995
68,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,4.0,"Flex Fuel,Performance",Midsize,Sedan,23,26625
69,Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,4.0,"Flex Fuel,Performance",Midsize,Sedan,18,30825
70,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,21995
71,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,27795
72,Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,4.0,"Flex Fuel,Performance",Midsize,Sedan,18,31785
73,Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,4.0,"Flex Fuel,Performance",Midsize,Sedan,18,29905
74,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,22490
75,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,27570
76,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,25690
77,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,24490
78,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,4.0,"Flex Fuel,Performance",Midsize,Sedan,18,29905
79,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,4.0,"Flex Fuel,Performance",Midsize,Sedan,18,31785
80,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,26685
81,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,22490
82,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,25690
83,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,4.0,"Flex Fuel,Performance",Midsize,Sedan,18,30900
84,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,27795
85,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,21995
86,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,4.0,Flex Fuel,Midsize,Sedan,23,24490
112,Mazda,2,2012,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,29,16020
113,Mazda,2,2012,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,29,14530
114,Mazda,2,2012,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,28,16860
115,Mazda,2,2012,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,28,15370
116,Mazda,2,2013,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,28,17050
117,Mazda,2,2013,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,28,15560
118,Mazda,2,2013,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,29,16210
119,Mazda,2,2013,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,29,14720
120,Mazda,2,2014,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,28,17050
121,Mazda,2,2014,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,28,15560
122,Mazda,2,2014,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,29,16210
123,Mazda,2,2014,regular unleaded,100.0,4.0,4.0,Hatchback,Compact,4dr Hatchback,29,14720
124,BMW,3 Series Gran Turismo,2015,premium unleaded (required),300.0,6.0,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,20,47250
125,BMW,3 Series Gran Turismo,2015,premium unleaded (required),240.0,4.0,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,22,41850
126,BMW,3 Series Gran Turismo,2015,premium unleaded (required),240.0,4.0,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,22,41850
127,BMW,3 Series Gran Turismo,2016,premium unleaded (required),240.0,4.0,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,22,43000
128,BMW,3 Series Gran Turismo,2016,premium unleaded (required),300.0,6.0,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,20,49200
129,BMW,3 Series Gran Turismo,2017,premium unleaded (required),320.0,6.0,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,20,49650
130,BMW,3 Series Gran Turismo,2017,premium unleaded (required),248.0,4.0,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,23,43950
131,BMW,3 Series,2015,premium unleaded (required),241.0,4.0,4.0,Luxury,Midsize,Wagon,22,41950
132,BMW,3 Series,2015,premium unleaded (required),335.0,6.0,4.0,"Luxury,High-Performance,Hybrid",Midsize,Sedan,25,50150
133,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,4.0,"Luxury,Performance",Midsize,Sedan,23,37500
134,BMW,3 Series,2015,premium unleaded (required),300.0,6.0,4.0,"Luxury,High-Performance",Midsize,Sedan,21,43750
135,BMW,3 Series,2015,diesel,180.0,4.0,4.0,"Diesel,Luxury",Midsize,Sedan,32,39000
136,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,4.0,Luxury,Midsize,Sedan,22,39500
137,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,4.0,Luxury,Midsize,Sedan,22,39500
138,BMW,3 Series,2015,premium unleaded (required),180.0,4.0,4.0,Luxury,Midsize,Sedan,23,34950
139,BMW,3 Series,2015,premium unleaded (required),300.0,6.0,4.0,"Luxury,Performance",Midsize,Sedan,20,45750
140,BMW,3 Series,2015,diesel,180.0,4.0,4.0,"Diesel,Luxury",Midsize,Wagon,31,43450
141,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,4.0,"Luxury,Performance",Midsize,Sedan,23,37500
142,BMW,3 Series,2015,diesel,180.0,4.0,4.0,"Diesel,Luxury",Midsize,Sedan,31,41000
143,BMW,3 Series,2015,premium unleaded (required),180.0,4.0,4.0,Luxury,Midsize,Sedan,24,32950
144,BMW,3 Series,2016,diesel,180.0,4.0,4.0,"Diesel,Luxury",Midsize,Sedan,30,41850
145,BMW,3 Series,2016,premium unleaded (required),320.0,6.0,4.0,"Luxury,High-Performance",Midsize,Sedan,22,47800
146,BMW,3 Series,2016,diesel,180.0,4.0,4.0,"Diesel,Luxury",Midsize,Sedan,32,39850
147,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,4.0,"Luxury,Performance",Midsize,Sedan,22,38350
148,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,4.0,Luxury,Midsize,Sedan,22,40350
149,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,4.0,"Luxury,Performance",Midsize,Sedan,22,38350
150,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,4.0,Luxury,Midsize,Wagon,22,42650
151,BMW,3 Series,2016,premium unleaded (required),180.0,4.0,4.0,Luxury,Midsize,Sedan,24,33150
152,BMW,3 Series,2016,premium unleaded (required),180.0,4.0,4.0,Luxury,Midsize,Sedan,23,35150
153,BMW,3 Series,2016,diesel,180.0,4.0,4.0,"Diesel,Luxury",Midsize,Wagon,30,44150
154,BMW,3 Series,2016,premium unleaded (required),320.0,6.0,4.0,"Luxury,High-Performance",Midsize,Sedan,22,45800
155,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,4.0,"Luxury,Performance",Midsize,Sedan,23,38750
156,BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,4.0,Luxury,Midsize,Sedan,23,35450
157,BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,4.0,Luxury,Midsize,Sedan,23,33450
158,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,4.0,Luxury,Midsize,Sedan,23,40750
159,BMW,3 Series,2017,diesel,180.0,4.0,4.0,"Diesel,Luxury",Midsize,Sedan,30,42250
160,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,4.0,Luxury,Midsize,Wagon,23,42950
161,BMW,3 Series,2017,diesel,180.0,4.0,4.0,"Diesel,Luxury",Midsize,Sedan,32,40250
162,BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,4.0,"Luxury,Performance",Midsize,Sedan,21,49900
163,BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,4.0,"Luxury,High-Performance",Midsize,Sedan,21,47900
164,BMW,3 Series,2017,diesel,180.0,4.0,4.0,"Diesel,Luxury",Midsize,Wagon,30,44450
203,Chrysler,300,2015,regular unleaded,300.0,6.0,4.0,,Large,Sedan,18,37570
204,Chrysler,300,2015,regular unleaded,292.0,6.0,4.0,,Large,Sedan,19,31695
205,Chrysler,300,2015,regular unleaded,292.0,6.0,4.0,,Large,Sedan,19,38070
206,Chrysler,300,2015,regular unleaded,292.0,6.0,4.0,,Large,Sedan,18,44895
207,Chrysler,300,2015,regular unleaded,300.0,6.0,4.0,Performance,Large,Sedan,19,35070
208,Chrysler,300,2015,regular unleaded,292.0,6.0,4.0,Performance,Large,Sedan,19,42395
209,Chrysler,300,2015,regular unleaded,292.0,6.0,4.0,,Large,Sedan,18,34195
210,Chrysler,300,2015,regular unleaded,292.0,6.0,4.0,,Large,Sedan,18,40570
211,Chrysler,300,2016,regular unleaded,300.0,6.0,4.0,,Large,Sedan,18,38095
212,Chrysler,300,2016,regular unleaded,300.0,6.0,4.0,Performance,Large,Sedan,19,35595
213,Chrysler,300,2016,regular unleaded,292.0,6.0,4.0,,Large,Sedan,18,45190
214,Chrysler,300,2016,regular unleaded,292.0,6.0,4.0,,Large,Sedan,19,32260
215,Chrysler,300,2016,regular unleaded,292.0,6.0,4.0,,Large,Sedan,18,37755
216,Chrysler,300,2016,regular unleaded,292.0,6.0,4.0,,Large,Sedan,18,41055
217,Chrysler,300,2016,regular unleaded,300.0,6.0,4.0,Performance,Large,Sedan,19,36090
218,Chrysler,300,2016,regular unleaded,292.0,6.0,4.0,Performance,Large,Sedan,19,42690
219,Chrysler,300,2016,regular unleaded,292.0,6.0,4.0,,Large,Sedan,19,38555
220,Chrysler,300,2016,regular unleaded,292.0,6.0,4.0,,Large,Sedan,19,35255
221,Chrysler,300,2016,regular unleaded,300.0,6.0,4.0,,Large,Sedan,18,38590
222,Chrysler,300,2016,regular unleaded,292.0,6.0,4.0,,Large,Sedan,18,34760
223,Chrysler,300,2017,regular unleaded,292.0,6.0,4.0,,Large,Sedan,18,41135
224,Chrysler,300,2017,regular unleaded,292.0,6.0,4.0,,Large,Sedan,18,45270
225,Chrysler,300,2017,regular unleaded,300.0,6.0,4.0,,Large,Sedan,18,38670
226,Chrysler,300,2017,regular unleaded,292.0,6.0,4.0,Performance,Large,Sedan,19,38635
227,Chrysler,300,2017,regular unleaded,300.0,6.0,4.0,Performance,Large,Sedan,19,36170
228,Chrysler,300,2017,regular unleaded,300.0,6.0,4.0,,Large,Sedan,18,38175
229,Chrysler,300,2017,regular unleaded,292.0,6.0,4.0,,Large,Sedan,19,32340
230,Chrysler,300,2017,regular unleaded,292.0,6.0,4.0,Performance,Large,Sedan,19,42770
231,Chrysler,300,2017,regular unleaded,292.0,6.0,4.0,,Large,Sedan,18,34840
232,Chrysler,300,2017,regular unleaded,300.0,6.0,4.0,Performance,Large,Sedan,19,35675
233,Chrysler,300M,2002,premium unleaded (required),250.0,6.0,4.0,Performance,Large,Sedan,16,32065
234,Chrysler,300M,2002,premium unleaded (required),250.0,6.0,4.0,Performance,Large,Sedan,16,28540
235,Chrysler,300M,2003,premium unleaded (required),255.0,6.0,4.0,Performance,Large,Sedan,16,32315
236,Chrysler,300M,2003,regular unleaded,250.0,6.0,4.0,Performance,Large,Sedan,16,28885
237,Chrysler,300M,2004,regular unleaded,250.0,6.0,4.0,Performance,Large,Sedan,16,29185
238,Chrysler,300M,2004,premium unleaded (required),255.0,6.0,4.0,Performance,Large,Sedan,16,32615
260,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,36550
261,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,41250
262,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,17,30600
263,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,17,37100
264,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,18,27900
265,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,18,32700
266,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,40250
267,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,35550
268,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,18,36100
269,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,17,33200
270,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,37900
271,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,18,29600
272,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,18,38070
273,Nissan,350Z,2007,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,38900
274,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,17,33840
275,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,38630
276,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,39630
277,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,17,37740
278,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,41980
279,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,36280
280,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,18,36740
281,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,40980
282,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,18,38680
283,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,18,28510
284,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,18,30210
285,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,17,31210
286,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Coupe,18,33340
287,Nissan,350Z,2008,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,37280
288,Nissan,350Z,2009,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,41570
289,Nissan,350Z,2009,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,36870
290,Nissan,350Z,2009,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,42570
291,Nissan,350Z,2009,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,37870
292,Nissan,350Z,2009,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,39220
293,Nissan,350Z,2009,regular unleaded,306.0,6.0,2.0,High-Performance,Compact,Convertible,17,40220
294,Ferrari,360,2002,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Convertible,10,160829
295,Ferrari,360,2002,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Coupe,10,140615
296,Ferrari,360,2002,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Coupe,10,150694
297,Ferrari,360,2002,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Convertible,10,170829
298,Ferrari,360,2003,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Convertible,10,165986
299,Ferrari,360,2003,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Coupe,10,154090
300,Ferrari,360,2003,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Coupe,10,143860
301,Ferrari,360,2003,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Convertible,10,176287
302,Ferrari,360,2004,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Coupe,10,157767
303,Ferrari,360,2004,premium unleaded (required),425.0,8.0,2.0,"Exotic,Factory Tuner,High-Performance",Compact,Coupe,10,187124
304,Ferrari,360,2004,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Coupe,10,147332
305,Ferrari,360,2004,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Convertible,10,169900
306,Ferrari,360,2004,premium unleaded (required),400.0,8.0,2.0,"Exotic,High-Performance",Compact,Convertible,10,180408
307,Nissan,370Z,2015,premium unleaded (required),350.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,19,46790
308,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,17,48100
309,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,29990
310,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,18,41820
311,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,31290
312,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,34870
313,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,33570
314,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,18,46570
315,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,37970
316,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,37070
317,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,18,49400
318,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,17,45270
319,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,39270
320,Nissan,370Z,2015,premium unleaded (required),350.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,18,45490
321,Nissan,370Z,2015,premium unleaded (required),350.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,18,41990
322,Nissan,370Z,2015,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,38370
323,Nissan,370Z,2015,premium unleaded (required),350.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,19,43290
324,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,18,41820
325,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,17,48100
326,Nissan,370Z,2016,premium unleaded (required),350.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,19,43290
327,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,39270
328,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,34870
329,Nissan,370Z,2016,premium unleaded (required),350.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,18,41990
330,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,38370
331,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,17,45270
332,Nissan,370Z,2016,premium unleaded (required),350.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,18,45490
333,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,29990
334,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,18,46570
335,Nissan,370Z,2016,premium unleaded (required),350.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,19,46790
336,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,18,49400
337,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,37070
338,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,31290
339,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,37970
340,Nissan,370Z,2016,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,33570
341,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,37970
342,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,38370
343,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,34870
344,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,29990
345,Nissan,370Z,2017,premium unleaded (required),350.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,18,45490
346,Nissan,370Z,2017,premium unleaded (required),350.0,6.0,2.0,"Factory Tuner,High-Performance",Compact,Coupe,18,41990
347,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,17,45270
348,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,18,33570
349,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,17,48100
350,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Coupe,19,39270
351,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,2.0,High-Performance,Compact,Convertible,18,46570
