,Rooms,Type,Method,Distance,Postcode,Bedrooms,Bathroom,Car,Landsize,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,Price class
26,3,h,S,11.4,3084.0,3.0,1.0,1.0,826.0,,-37.7352,145.0714,Eastern Metropolitan,3540.0,0
27,4,h,S,7.8,3124.0,4.0,2.0,2.0,686.0,1960.0,-37.8458,145.0611,Southern Metropolitan,8920.0,1
28,4,h,PI,8.5,3185.0,3.0,3.0,2.0,420.0,2016.0,-37.8891,145.0102,Southern Metropolitan,4898.0,1
29,2,u,S,3.3,3141.0,2.0,1.0,1.0,0.0,,-37.8359,144.9801,Southern Metropolitan,14887.0,0
30,2,h,S,11.8,3204.0,2.0,1.0,1.0,250.0,,-37.9063,145.0535,Southern Metropolitan,3578.0,0
31,3,h,VB,7.5,3040.0,3.0,3.0,1.0,846.0,1940.0,-37.75228,144.88429,Western Metropolitan,588.0,0
32,3,h,S,5.5,3070.0,3.0,1.0,2.0,380.0,,-37.7709,145.0105,Northern Metropolitan,11364.0,0
33,3,u,S,8.5,3044.0,3.0,1.0,0.0,278.0,1950.0,-37.71798,144.93965,Northern Metropolitan,7485.0,0
34,3,u,S,6.9,3039.0,2.0,2.0,1.0,0.0,2001.0,-37.7672,144.9209,Western Metropolitan,6232.0,0
35,3,h,S,11.2,3145.0,3.0,2.0,2.0,323.0,,-37.8709,145.0565,Southern Metropolitan,8801.0,1
36,3,h,S,19.9,3134.0,3.0,1.0,1.0,446.0,1955.0,-37.7987,145.23032,Eastern Metropolitan,3619.0,0
37,3,h,S,8.8,3081.0,3.0,2.0,2.0,604.0,,-37.73098,145.06043,Eastern Metropolitan,2947.0,0
38,4,h,S,12.0,3073.0,4.0,2.0,4.0,576.0,1940.0,-37.69742,145.01604,Northern Metropolitan,21650.0,0
39,3,t,VB,7.5,3040.0,3.0,1.0,1.0,116.0,2001.0,-37.73899,144.89291,Western Metropolitan,9264.0,0
40,2,u,PI,7.7,3184.0,2.0,1.0,1.0,0.0,1960.0,-37.8753,144.9902,Southern Metropolitan,8989.0,0
41,3,h,S,1.6,3053.0,3.0,1.0,,9405.0,1880.0,-37.79945,144.96653,Northern Metropolitan,6786.0,1
42,3,h,S,21.5,3195.0,3.0,2.0,2.0,454.0,1950.0,-37.99443,145.0885,South-Eastern Metropolitan,5087.0,0
43,4,h,VB,12.9,3043.0,4.0,2.0,2.0,620.0,,-37.70377,144.90216999999996,Western Metropolitan,1071.0,0
44,4,h,VB,2.5,3067.0,3.0,1.0,2.0,120.0,2014.0,-37.8072,144.9941,Northern Metropolitan,4019.0,1
45,3,u,S,3.3,3141.0,3.0,2.0,2.0,0.0,1968.0,-37.8399,145.0003,Southern Metropolitan,14887.0,1
46,3,h,S,13.3,3020.0,3.0,1.0,1.0,668.0,,-37.7661,144.84,Western Metropolitan,4217.0,0
47,5,h,S,17.9,3082.0,5.0,3.0,2.0,656.0,1970.0,-37.6641,145.05123,Northern Metropolitan,10529.0,0
48,2,u,PI,5.9,3055.0,2.0,1.0,1.0,0.0,1980.0,-37.7514,144.9288,Northern Metropolitan,7082.0,0
49,3,h,PI,11.2,3042.0,3.0,2.0,2.0,795.0,,-37.736,144.8771,Western Metropolitan,2291.0,0
50,3,h,S,14.5,3087.0,3.0,1.0,2.0,700.0,,-37.70994,145.07997,Northern Metropolitan,2329.0,0
51,2,u,S,2.5,3067.0,2.0,1.0,1.0,0.0,1970.0,-37.8015,144.9972,Northern Metropolitan,4019.0,0
52,4,h,S,13.0,3046.0,4.0,2.0,2.0,650.0,,-37.7004,144.9411,Northern Metropolitan,8870.0,0
53,2,u,PI,6.3,3143.0,2.0,1.0,1.0,0.0,1966.0,-37.8646,145.0247,Southern Metropolitan,4836.0,0
54,3,h,S,13.0,3046.0,3.0,1.0,3.0,667.0,1950.0,-37.7005,144.9185,Northern Metropolitan,8870.0,0
55,2,h,S,9.3,3162.0,2.0,1.0,2.0,311.0,,-37.8895,145.0229,Southern Metropolitan,5051.0,0
56,3,t,S,7.5,3123.0,3.0,2.0,2.0,289.0,2010.0,-37.8451,145.0525,Southern Metropolitan,6482.0,1
57,2,h,S,16.1,3088.0,2.0,1.0,1.0,598.0,1985.0,-37.70681,145.11731,Eastern Metropolitan,1390.0,0
58,3,h,S,13.8,3188.0,3.0,1.0,1.0,464.0,1948.0,-37.93753,145.0102,Southern Metropolitan,5454.0,1
59,5,h,S,7.7,3124.0,5.0,4.0,2.0,788.0,,-37.82831,145.06581,Southern Metropolitan,8920.0,2
60,3,h,S,2.6,3121.0,3.0,1.0,0.0,245.0,1900.0,-37.8138,144.9921,Northern Metropolitan,14949.0,0
61,3,h,VB,10.5,3186.0,3.0,2.0,1.0,35.0,,-37.9214,145.00454,Southern Metropolitan,10579.0,1
62,4,h,S,17.5,3169.0,4.0,2.0,4.0,724.0,,-37.93197,145.12219,South-Eastern Metropolitan,4734.0,0
63,3,h,S,3.5,3068.0,2.0,1.0,1.0,197.0,1900.0,-37.7835,144.9816,Northern Metropolitan,6244.0,1
64,3,h,S,12.6,3020.0,3.0,1.0,1.0,725.0,,-37.7918,144.8419,Western Metropolitan,3755.0,0
65,4,h,VB,13.0,3046.0,4.0,2.0,1.0,683.0,2017.0,-37.6964,144.9314,Northern Metropolitan,8870.0,0
66,4,t,PI,10.3,3187.0,4.0,2.0,2.0,326.0,,-37.92875,145.0248,Southern Metropolitan,6938.0,1
67,4,h,SP,22.2,3172.0,4.0,2.0,2.0,584.0,,-37.97291,145.15334,South-Eastern Metropolitan,4054.0,0
68,2,t,S,35.4,3198.0,2.0,1.0,1.0,150.0,1970.0,-38.12477,145.13668,South-Eastern Metropolitan,8077.0,0
69,3,u,S,3.8,3207.0,3.0,2.0,2.0,0.0,,-37.842,144.9364,Southern Metropolitan,8648.0,2
70,3,h,VB,3.5,3207.0,3.0,2.0,3.0,337.0,,-37.83802,144.92442,Southern Metropolitan,8648.0,1
71,3,h,S,10.4,3125.0,3.0,2.0,2.0,708.0,,-37.84625,145.10116000000005,Southern Metropolitan,5678.0,1
72,3,u,S,14.0,3021.0,3.0,1.0,1.0,388.0,1992.0,-37.73163,144.80697,Western Metropolitan,14042.0,0
73,3,h,VB,2.4,3121.0,3.0,1.0,1.0,300.0,,-37.81981,145.00538999999995,Northern Metropolitan,14949.0,1
74,3,h,S,7.5,3102.0,3.0,1.0,1.0,698.0,,-37.7902,145.061,Southern Metropolitan,2671.0,1
75,3,t,S,9.0,3126.0,3.0,2.0,2.0,0.0,,-37.8207,145.0854,Southern Metropolitan,3265.0,1
76,3,h,S,14.6,3189.0,3.0,2.0,1.0,1660.0,1960.0,-37.9354,145.0464,Southern Metropolitan,2555.0,0
77,4,t,S,11.2,3145.0,4.0,3.0,2.0,274.0,,-37.87300000000001,145.0664,Southern Metropolitan,8801.0,1
78,3,u,S,8.4,3072.0,3.0,1.0,1.0,234.0,1995.0,-37.73506,145.03169,Northern Metropolitan,14577.0,0
79,5,h,PI,5.4,3101.0,5.0,4.0,2.0,769.0,1940.0,-37.81143,145.03723,Southern Metropolitan,10331.0,2
80,2,h,S,11.8,3204.0,2.0,1.0,2.0,452.0,1930.0,-37.9024,145.0539,Southern Metropolitan,3578.0,1
81,3,h,S,17.9,3082.0,3.0,2.0,1.0,555.0,1990.0,-37.6764,145.05085,Northern Metropolitan,10529.0,0
82,3,h,S,7.8,3079.0,3.0,1.0,2.0,670.0,,-37.75973,145.03808,Eastern Metropolitan,5549.0,1
83,3,h,S,13.1,3060.0,3.0,1.0,2.0,619.0,,-37.71313,144.97248000000005,Northern Metropolitan,5070.0,0
84,3,t,S,17.2,3133.0,3.0,2.0,2.0,260.0,2004.0,-37.831,145.19843999999995,Eastern Metropolitan,4181.0,0
85,2,h,S,6.4,3012.0,2.0,1.0,2.0,249.0,,-37.78891,144.87114,Western Metropolitan,3873.0,0
86,1,u,S,4.6,3122.0,1.0,1.0,1.0,0.0,1960.0,-37.8194,145.0397,Southern Metropolitan,11308.0,0
87,4,h,PI,13.9,3165.0,4.0,3.0,2.0,620.0,,-37.9228,145.0555,Southern Metropolitan,10969.0,1
88,2,h,S,7.8,3079.0,2.0,1.0,2.0,697.0,,-37.77345,145.06098,Eastern Metropolitan,1554.0,1
89,4,h,S,9.2,3104.0,4.0,3.0,2.0,636.0,1960.0,-37.789,145.0938,Southern Metropolitan,7809.0,1
90,5,h,S,9.2,3146.0,5.0,2.0,2.0,794.0,1920.0,-37.8508,145.0592,Southern Metropolitan,10412.0,1
91,3,h,S,8.5,3185.0,3.0,2.0,2.0,439.0,1912.0,-37.892,145.0103,Southern Metropolitan,4898.0,1
92,3,h,S,9.2,3146.0,3.0,1.0,2.0,615.0,1940.0,-37.8578,145.0919,Southern Metropolitan,10412.0,1
93,4,h,S,10.2,3147.0,4.0,2.0,2.0,682.0,,-37.8621,145.08588,Southern Metropolitan,3052.0,1
94,3,h,PI,12.6,3020.0,3.0,1.0,1.0,462.0,1930.0,-37.7894,144.8383,Western Metropolitan,3755.0,0
95,4,h,S,7.7,3124.0,4.0,2.0,2.0,671.0,1914.0,-37.8296,145.06441999999996,Southern Metropolitan,8920.0,2
96,4,h,S,15.5,3106.0,4.0,2.0,2.0,646.0,1980.0,-37.75807,145.13478,Eastern Metropolitan,6202.0,1
97,5,h,S,12.4,3108.0,5.0,3.0,2.0,851.0,1975.0,-37.78109,145.13745,Eastern Metropolitan,9028.0,1
98,1,u,S,7.0,3013.0,1.0,1.0,1.0,0.0,,-37.8184,144.8904,Western Metropolitan,6543.0,0
99,2,h,S,13.9,3165.0,2.0,2.0,1.0,176.0,2008.0,-37.9237,145.0763,Southern Metropolitan,10969.0,0
100,1,u,S,11.4,3163.0,1.0,1.0,1.0,60.0,1970.0,-37.8965,145.0618,Southern Metropolitan,7822.0,0
101,2,u,S,11.2,3073.0,2.0,1.0,1.0,168.0,1970.0,-37.7167,145.0001,Northern Metropolitan,21650.0,0
102,4,h,PI,5.5,3070.0,4.0,2.0,1.0,415.0,1900.0,-37.7807,144.9948,Northern Metropolitan,11364.0,1
103,3,h,S,11.2,3073.0,2.0,1.0,1.0,546.0,,-37.721,144.9967,Northern Metropolitan,21650.0,0
104,2,u,S,11.2,3127.0,2.0,1.0,1.0,156.0,1960.0,-37.8275,145.0919,Southern Metropolitan,5457.0,0
105,3,h,SP,17.9,3082.0,3.0,2.0,1.0,991.0,,-37.65887,145.06253999999996,Northern Metropolitan,10529.0,0
106,4,h,S,8.8,3072.0,4.0,2.0,1.0,243.0,2005.0,-37.7506,144.9847,Northern Metropolitan,14577.0,0
107,2,h,S,2.5,3067.0,2.0,1.0,0.0,181.0,,-37.8041,144.9953,Northern Metropolitan,4019.0,0
108,3,h,PI,5.2,3056.0,3.0,1.0,1.0,193.0,,-37.76418,144.95715,Northern Metropolitan,11918.0,1
109,1,u,PI,5.9,3055.0,1.0,1.0,1.0,0.0,2000.0,-37.7586,144.9452,Northern Metropolitan,7082.0,0
110,3,t,S,8.5,3044.0,3.0,2.0,2.0,495.0,,-37.71962,144.95061,Northern Metropolitan,7485.0,0
111,1,u,S,3.3,3141.0,1.0,1.0,1.0,0.0,1960.0,-37.8355,144.9884,Southern Metropolitan,14887.0,0
112,2,u,SP,13.8,3018.0,2.0,1.0,1.0,65.0,,-37.8693,144.8171,Western Metropolitan,5301.0,0
113,3,t,PI,7.8,3058.0,3.0,2.0,2.0,531.0,2016.0,-37.7424,144.9571,Northern Metropolitan,11204.0,0
114,2,h,S,5.6,3101.0,2.0,1.0,2.0,405.0,1890.0,-37.8012,145.0361,Southern Metropolitan,10331.0,1
115,3,h,S,14.2,3149.0,3.0,2.0,2.0,660.0,1960.0,-37.86198,145.139,Eastern Metropolitan,13366.0,1
116,3,h,S,11.2,3073.0,3.0,2.0,2.0,803.0,,-37.7086,145.0313,Northern Metropolitan,21650.0,0
117,3,h,S,2.6,3121.0,3.0,2.0,1.0,189.0,1900.0,-37.82,144.9987,Northern Metropolitan,14949.0,1
118,3,h,SP,14.7,3030.0,3.0,2.0,1.0,251.0,2012.0,-37.90918,144.68325,Western Metropolitan,16166.0,0
119,4,h,PI,9.2,3104.0,4.0,3.0,2.0,627.0,1970.0,-37.7827,145.0945,Southern Metropolitan,7809.0,1
120,4,h,S,5.9,3055.0,4.0,2.0,2.0,518.0,1980.0,-37.7606,144.9499,Northern Metropolitan,7082.0,1
121,3,h,S,8.0,3016.0,3.0,2.0,3.0,430.0,1996.0,-37.8613,144.8939,Western Metropolitan,6380.0,1
122,2,u,S,14.7,3030.0,2.0,1.0,2.0,471.0,,-37.88275,144.66661000000005,Western Metropolitan,16166.0,0
123,4,h,S,15.5,3038.0,4.0,2.0,2.0,684.0,,-37.69274,144.76971,Western Metropolitan,5336.0,0
124,2,h,SP,2.0,3066.0,3.0,2.0,1.0,108.0,2005.0,-37.79531,144.9863,Northern Metropolitan,4553.0,0
125,4,h,PI,7.2,3185.0,4.0,2.0,1.0,390.0,1920.0,-37.88785,145.00795,Southern Metropolitan,4898.0,2
126,3,h,S,5.2,3056.0,3.0,1.0,1.0,264.0,1915.0,-37.7603,144.9573,Northern Metropolitan,11918.0,0
127,3,t,S,13.0,3046.0,3.0,2.0,1.0,136.0,2014.0,-37.7112,144.9142,Northern Metropolitan,8870.0,0
128,3,h,S,5.5,3070.0,3.0,1.0,2.0,401.0,,-37.7801,144.9954,Northern Metropolitan,11364.0,1
129,3,h,S,7.8,3058.0,3.0,2.0,2.0,500.0,1900.0,-37.7382,144.9653,Northern Metropolitan,11204.0,1
130,3,h,S,4.3,3032.0,3.0,2.0,2.0,359.0,2008.0,-37.78606,144.88459,Western Metropolitan,4918.0,0
131,2,u,VB,6.2,3123.0,2.0,1.0,1.0,0.0,,-37.84139,145.05045,Southern Metropolitan,6482.0,0
132,3,h,S,3.8,3207.0,3.0,,1.0,170.0,,-37.835,144.94299999999996,Southern Metropolitan,8648.0,1
133,2,h,S,5.2,3055.0,2.0,1.0,1.0,0.0,1970.0,-37.76732,144.94098,Northern Metropolitan,7082.0,0
134,5,h,SP,12.4,3083.0,5.0,2.0,2.0,544.0,2000.0,-37.7147,145.0296,Northern Metropolitan,1414.0,0
135,3,h,S,9.7,3041.0,3.0,2.0,2.0,662.0,,-37.7356,144.9242,Western Metropolitan,3284.0,0
136,4,h,VB,14.7,3030.0,4.0,2.0,2.0,540.0,2012.0,-37.90715,144.76527,Western Metropolitan,15542.0,0
137,2,u,SP,8.1,3161.0,2.0,2.0,2.0,0.0,2011.0,-37.8607,145.0116,Southern Metropolitan,6923.0,0
138,3,h,PI,6.3,3013.0,3.0,1.0,6.0,732.0,,-37.82252,144.87718,Western Metropolitan,6543.0,1
139,3,h,S,13.5,3020.0,3.0,2.0,2.0,519.0,,-37.7997,144.7968,Western Metropolitan,6763.0,0
140,4,h,S,13.9,3108.0,4.0,2.0,2.0,655.0,1970.0,-37.782,145.1194,Eastern Metropolitan,9028.0,1
141,2,u,S,5.3,3122.0,2.0,1.0,0.0,0.0,1980.0,-37.83108,145.0353,Southern Metropolitan,11308.0,0
142,2,h,S,9.8,3040.0,2.0,1.0,1.0,711.0,,-37.755,144.8848,Western Metropolitan,588.0,1
143,3,h,S,6.7,3058.0,3.0,2.0,2.0,190.0,2015.0,-37.74978,144.97738,Northern Metropolitan,11204.0,0
144,3,h,S,2.6,3121.0,3.0,1.0,1.0,410.0,1900.0,-37.8292,145.0029,Northern Metropolitan,14949.0,1
145,4,h,S,34.9,3201.0,4.0,2.0,4.0,688.0,2002.0,-38.10984000000001,145.17062,South-Eastern Metropolitan,8060.0,0
146,3,h,SP,12.8,3033.0,3.0,1.0,1.0,538.0,1970.0,-37.7441,144.8503,Western Metropolitan,5629.0,0
147,3,h,S,13.9,3165.0,3.0,1.0,1.0,721.0,1970.0,-37.9244,145.0665,Southern Metropolitan,10969.0,1
148,4,h,S,9.9,3044.0,4.0,2.0,2.0,708.0,,-37.7257,144.9418,Northern Metropolitan,7485.0,0
149,3,h,S,6.4,3012.0,3.0,1.0,5.0,653.0,1930.0,-37.78639,144.88214,Western Metropolitan,3873.0,0
150,2,h,S,6.6,3011.0,2.0,1.0,0.0,172.0,1900.0,-37.81,144.8896,Western Metropolitan,2417.0,0
151,3,h,S,8.4,3015.0,3.0,1.0,2.0,771.0,,-37.8439,144.8715,Western Metropolitan,5498.0,1
152,3,h,SP,12.1,3046.0,3.0,1.0,3.0,610.0,1960.0,-37.7107,144.9419,Northern Metropolitan,2606.0,0
153,2,u,PI,5.8,3078.0,2.0,1.0,1.0,0.0,1970.0,-37.7755,145.0178,Northern Metropolitan,2970.0,0
154,4,h,PI,7.7,3184.0,4.0,2.0,2.0,560.0,1920.0,-37.8822,144.9913,Southern Metropolitan,8989.0,2
155,4,h,S,13.9,3165.0,4.0,2.0,2.0,618.0,1950.0,-37.9252,145.0562,Southern Metropolitan,10969.0,1
156,4,h,S,7.7,3124.0,4.0,3.0,2.0,947.0,,-37.84457,145.06218,Southern Metropolitan,8920.0,2
157,4,h,PI,9.9,3044.0,4.0,2.0,2.0,646.0,1995.0,-37.7256,144.9383,Northern Metropolitan,7485.0,1
158,2,u,S,6.1,3182.0,2.0,1.0,1.0,0.0,,-37.8635,144.9857,Southern Metropolitan,13240.0,0
159,5,h,S,11.5,3046.0,5.0,3.0,3.0,700.0,,-37.7206,144.9194,Northern Metropolitan,2651.0,1
160,2,u,S,13.0,3204.0,2.0,1.0,3.0,336.0,1960.0,-37.929,145.0375,Southern Metropolitan,6795.0,0
161,4,h,S,11.2,3186.0,4.0,3.0,2.0,745.0,,-37.9139,144.9878,Southern Metropolitan,10579.0,2
162,4,h,PI,9.2,3104.0,4.0,2.0,2.0,714.0,,-37.8007,145.1002,Southern Metropolitan,7809.0,1
163,2,h,SP,6.7,3058.0,2.0,1.0,1.0,149.0,1970.0,-37.74945,144.96737,Northern Metropolitan,11204.0,0
164,3,h,S,13.7,3188.0,3.0,1.0,2.0,569.0,,-37.9419,145.01,Southern Metropolitan,5454.0,1
165,2,u,VB,5.0,3182.0,2.0,1.0,1.0,0.0,1930.0,-37.85911,144.97899999999996,Southern Metropolitan,13240.0,0
166,3,t,S,2.3,3051.0,3.0,2.0,2.0,67.0,2005.0,-37.804,144.9441,Northern Metropolitan,6821.0,1
167,4,h,SP,31.7,3429.0,4.0,2.0,2.0,808.0,1970.0,-37.58089,144.72183,Western Metropolitan,14092.0,0
168,2,u,S,5.5,3070.0,2.0,1.0,1.0,0.0,2012.0,-37.7765,144.9984,Northern Metropolitan,11364.0,0
169,4,h,S,3.8,3207.0,4.0,3.0,1.0,323.0,1935.0,-37.8371,144.921,Southern Metropolitan,8648.0,1
170,4,h,S,8.0,3016.0,4.0,2.0,2.0,650.0,,-37.8671,144.8875,Western Metropolitan,6380.0,2
171,2,u,SP,4.5,3057.0,2.0,1.0,1.0,0.0,2011.0,-37.7755,144.9786,Northern Metropolitan,5533.0,0
172,3,h,S,14.0,3047.0,3.0,1.0,1.0,656.0,,-37.69103,144.91857,Northern Metropolitan,4294.0,0
173,2,u,S,7.7,3124.0,2.0,1.0,1.0,2685.0,,-37.82277,145.0581,Southern Metropolitan,8920.0,0
174,2,u,SP,2.1,3205.0,2.0,2.0,1.0,0.0,,-37.8331,144.9683,Southern Metropolitan,5943.0,0
175,3,h,SP,27.1,3116.0,3.0,2.0,2.0,945.0,,-37.75735,145.31859,Eastern Victoria,3789.0,0
176,1,u,S,4.6,3122.0,1.0,1.0,1.0,0.0,1960.0,-37.8158,145.0342,Southern Metropolitan,11308.0,0
177,2,h,S,4.6,3181.0,2.0,1.0,1.0,136.0,1892.0,-37.85542,144.99571,Southern Metropolitan,4380.0,0
178,1,u,S,11.8,3204.0,1.0,1.0,1.0,0.0,,-37.9016,145.0414,Southern Metropolitan,3578.0,0
179,3,h,PI,11.7,3033.0,3.0,2.0,2.0,404.0,2009.0,-37.73977,144.87734,Western Metropolitan,5629.0,0
180,3,h,S,19.9,3134.0,3.0,1.0,3.0,691.0,,-37.80236,145.23916,Eastern Metropolitan,7785.0,0
181,2,h,S,12.1,3046.0,2.0,1.0,1.0,613.0,1960.0,-37.7099,144.938,Northern Metropolitan,2606.0,0
182,2,u,S,4.6,3122.0,2.0,1.0,1.0,0.0,2014.0,-37.8216,145.0343,Southern Metropolitan,11308.0,0
183,3,h,S,7.8,3079.0,3.0,1.0,2.0,617.0,1930.0,-37.77212,145.05813,Eastern Metropolitan,1554.0,1
184,4,h,S,9.4,3081.0,4.0,2.0,2.0,608.0,,-37.7437,145.0402,Eastern Metropolitan,2674.0,0
185,4,h,S,14.6,3189.0,4.0,2.0,1.0,603.0,1955.0,-37.9381,145.0534,Southern Metropolitan,2555.0,0
186,3,h,S,9.7,3103.0,3.0,1.0,1.0,607.0,1950.0,-37.8058,145.0781,Southern Metropolitan,5682.0,1
187,3,h,S,5.5,3070.0,3.0,2.0,1.0,259.0,1910.0,-37.7687,144.9922,Northern Metropolitan,11364.0,1
188,2,h,S,9.2,3146.0,2.0,1.0,2.0,334.0,1930.0,-37.8577,145.0576,Southern Metropolitan,10412.0,0
189,5,h,S,10.3,3187.0,5.0,3.0,3.0,626.0,,-37.92427,145.02003,Southern Metropolitan,6938.0,2
190,3,h,S,12.4,3108.0,3.0,1.0,1.0,633.0,,-37.79094,145.11335,Eastern Metropolitan,9028.0,0
191,3,u,S,8.0,3040.0,3.0,2.0,2.0,282.0,,-37.7468,144.9051,Western Metropolitan,9264.0,0
192,1,u,S,11.4,3163.0,1.0,1.0,1.0,0.0,,-37.8982,145.0625,Southern Metropolitan,7822.0,0
193,1,u,S,6.9,3039.0,1.0,1.0,1.0,0.0,1970.0,-37.758,144.9237,Western Metropolitan,6232.0,0
194,2,h,S,17.9,3082.0,2.0,1.0,1.0,257.0,1985.0,-37.65636,145.03996999999995,Northern Metropolitan,10529.0,0
195,4,h,SP,13.8,3018.0,4.0,3.0,6.0,1057.0,1962.0,-37.8681,144.819,Western Metropolitan,5301.0,1
196,4,h,S,5.6,3101.0,4.0,1.0,2.0,735.0,,-37.8028,145.0534,Southern Metropolitan,10331.0,2
197,1,u,PI,4.6,3122.0,1.0,1.0,1.0,0.0,1950.0,-37.8155,145.0161,Southern Metropolitan,11308.0,0
198,3,h,S,13.9,3165.0,3.0,1.0,2.0,841.0,,-37.9217,145.056,Southern Metropolitan,10969.0,1
199,3,h,VB,11.5,3046.0,3.0,1.0,3.0,730.0,,-37.7167,144.9216,Northern Metropolitan,2651.0,1
200,4,h,VB,3.0,3206.0,4.0,3.0,1.0,209.0,,-37.84807,144.96017,Southern Metropolitan,2019.0,2
201,1,u,S,4.6,3142.0,1.0,1.0,1.0,0.0,1970.0,-37.8373,145.0116,Southern Metropolitan,7217.0,0
202,2,u,S,16.1,3088.0,2.0,1.0,1.0,180.0,,-37.70924,145.11412,Eastern Metropolitan,1390.0,0
203,2,u,S,13.7,3188.0,2.0,1.0,1.0,90.0,1962.0,-37.9354,144.9994,Southern Metropolitan,5454.0,0
204,2,h,S,8.4,3015.0,2.0,1.0,1.0,402.0,1920.0,-37.8446,144.8796,Western Metropolitan,5498.0,0
205,3,h,PI,6.2,3039.0,3.0,2.0,0.0,411.0,1915.0,-37.76285,144.90575,Western Metropolitan,6232.0,1
206,3,h,S,3.8,3207.0,3.0,2.0,1.0,215.0,1990.0,-37.8393,144.9336,Southern Metropolitan,8648.0,1
207,3,h,PI,8.8,3072.0,3.0,2.0,2.0,319.0,1940.0,-37.7334,144.9873,Northern Metropolitan,14577.0,0
208,3,h,S,9.0,3079.0,3.0,1.0,2.0,792.0,,-37.774,145.0654,Eastern Metropolitan,1554.0,1
209,4,h,S,3.2,3054.0,4.0,2.0,2.0,207.0,1900.0,-37.7804,144.9748,Northern Metropolitan,3106.0,1
210,3,t,S,5.9,3032.0,3.0,2.0,2.0,,2013.0,-37.7744,144.9035,Western Metropolitan,6567.0,0
211,4,h,S,9.7,3104.0,4.0,2.0,2.0,605.0,1938.0,-37.79466,145.06564,Southern Metropolitan,7809.0,1
212,2,u,S,2.5,3121.0,2.0,1.0,1.0,0.0,1980.0,-37.8282,144.9897,Northern Metropolitan,1123.0,0
213,3,h,S,11.2,3073.0,3.0,1.0,2.0,649.0,,-37.7258,145.0113,Northern Metropolitan,21650.0,0
